"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"DT_ELEICAO";"DS_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"CD_TIPO_SECAO_AGREGADA";"DS_TIPO_SECAO_AGREGADA";"NR_SECAO_PRINCIPAL";"NR_LOCAL_VOTACAO";"NM_LOCAL_VOTACAO";"CD_TIPO_LOCAL";"DS_TIPO_LOCAL";"DS_ENDERECO";"NM_BAIRRO";"NR_CEP";"NR_TELEFONE_LOCAL";"NR_LATITUDE";"NR_LONGITUDE";"CD_SITU_LOCAL_VOTACAO";"DS_SITU_LOCAL_VOTACAO";"CD_SITU_ZONA";"DS_SITU_ZONA";"CD_SITU_SECAO";"DS_SITU_SECAO";"CD_SITU_LOCALIDADE";"DS_SITU_LOCALIDADE";"CD_SITU_SECAO_ACESSIBILIDADE";"DS_SITU_SECAO_ACESSIBILIDADE";"QT_ELEITOR_SECAO";"QT_ELEITOR_ELEICAO_FEDERAL";"QT_ELEITOR_ELEICAO_ESTADUAL";"QT_ELEITOR_ELEICAO_MUNICIPAL";"NR_LOCAL_VOTACAO_ORIGINAL";"NM_LOCAL_VOTACAO_ORIGINAL";"DS_ENDERECO_LOCVT_ORIGINAL"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30635";"TORONTO";1;3915;2;"Agregada";1402;1058;"ADRA HUB";1;"Convencional";"95 STADACONA ST- WINNIPEG";"CANADA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";28;0;0;0;1058;"ADRA HUB";"95 STADACONA ST- WINNIPEG"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29661";"DUBLIN";1;1314;2;"Agregada";3309;1015;"ROYAL DUBLIN SOCIETY - HALL 2";1;"Convencional";"RDS, MERRION ROAD, BALLSBRIDGE, DUBLIN 4 D04 AK83 - HALL 2";"IRLANDA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";217;0;0;0;1058;"ROYAL DUBLIN SOCIETY - HALL 2";"RDS, MERRION ROAD, BALLSBRIDGE, DUBLIN 4 D04 AK83 - HALL 2"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30180";"MUNIQUE";1;983;2;"Agregada";113;1031;"DEUTSCH MEISTERSCHULE FÜR MODE (ESCOLA ALEMÃ DE MODA)";1;"Convencional";"SENDLINGER-TOR-PLATZ 14. 80336 MÜNCHEN";"ALEMANHA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";41;0;0;0;1155;"DEUTSCH MEISTERSCHULE FÜR MODE (ESCOLA ALEMÃ DE MODA)";"SENDLINGER-TOR-PLATZ 14. 80336 MÜNCHEN."
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30201";"NAIRÓBI";1;2997;2;"Agregada";282;1015;"EMBAIXADA EM NAIROBI";1;"Convencional";"123, GARDENIA ROAD, GIGIRI, NAIROBI, QUÊNIA";"KÊNIA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";1;0;0;0;1040;"EMBAIXADA EM NAIROBI";"123, GARDENIA ROAD, GIGIRI, NAIROBI, QUÊNIA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30473";"SANTA CRUZ DE LA SIERRA";1;984;2;"Agregada";738;1015;"CONSULADO EM SANTA CRUZ DE LA SIERRA";1;"Convencional";"AVENIDA MARCELO TERCEROS BANZER 334, SANTA CRUZ DE LA SIERRA, BOLÍVIA";"BOLÍVIA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";305;0;0;0;1015;"CONSULADO EM SANTA CRUZ DE LA SIERRA";"AVENIDA MARCELO TERCEROS BANZER 334, SANTA CRUZ DE LA SIERRA, BOLÍVIA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29513";"CHICAGO";1;3332;2;"Agregada";939;1015;"CONSULADO-GERAL DO BRASIL CHICAGO";1;"Convencional";"401 NORTH MICHIGAN AVENUE, SUITE 425, CHICAGO, ILLINOIS, ESTADOS UNIDO";"ESTADOS UNIDOS";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";361;0;0;0;1112;"CONSULADO-GERAL DO BRASIL CHICAGO";"401 NORTH MICHIGAN AVENUE, SUITE 425, CHICAGO, ILLINOIS, ESTADOS UNIDO"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"99490";"ORLANDO";1;3431;2;"Agregada";3504;1015;"OSCEOLA HERITAGE PARK";1;"Convencional";"1875 SILVER SPUR LN, KISSIMMEE, FL 34744";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";400;0;0;0;1031;"OSCEOLA HERITAGE PARK";"1875 SILVER SPUR LN, KISSIMMEE, FL 34744"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29416";"BOSTON";1;3711;2;"Agregada";1485;1090;"ST TARCISUS PARISH";1;"Convencional";"562 WAVERLY ST, FRAMINGHAM, MA 01702";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";399;0;0;0;1090;"ST TARCISUS PARISH";"562 WAVERLY ST, FRAMINGHAM, MA 01702"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30503";"SÃO FRANCISCO";1;3706;2;"Agregada";410;1015;"CONSULADO-GERAL DO BRASIL EM SÃO FRANCISCO";1;"Convencional";"300 MONTGOMERY ST., 1ST FLOOR, BANKING HALL. SAN FRANCISCO, CA 94104.";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";386;0;0;0;1589;"CONSULADO-GERAL DO BRASIL EM SÃO FRANCISCO";"300 MONTGOMERY ST., 1ST FLOOR, BANKING HALL. SAN FRANCISCO, CA 94104."
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30112";"MIAMI";1;3072;2;"Agregada";822;1058;"MIAMI DADE COLLEGE - KENDALL CAMPUS";1;"Convencional";"11011 SW 104TH STREET - MIAMI, FL33176 BUILDING R  BUILDING 9";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";400;0;0;0;1120;"MIAMI DADE COLLEGE - KENDALL CAMPUS";"11011 SW 104TH STREET - MIAMI, FL 33176 BUILDING R  BUILDING 9"
