"DT_GERACAO;""HH_GERACAO"";""AA_ELEICAO"";""SG_UF"";""CD_MUNICIPIO"";""NM_MUNICIPIO"";""NR_ZONA"";""NR_SECAO"";""NR_LOCAL_VOTACAO"";""NM_LOCAL_VOTACAO"";""CD_GENERO"";""DS_GENERO"";""CD_ESTADO_CIVIL"";""DS_ESTADO_CIVIL"";""CD_FAIXA_ETARIA"";""DS_FAIXA_ETARIA"";""CD_GRAU_ESCOLARIDADE"";""DS_GRAU_ESCOLARIDADE"";""CD_RACA_COR"";""DS_RACA_COR"";""CD_IDENTIDADE_GENERO"";""DS_IDENTIDADE_GENERO"";""CD_QUILOMBOLA"";""DS_QUILOMBOLA"";""CD_INTERPRETE_LIBRAS"";""DS_INTERPRETE_LIBRAS"";""QT_ELEITORES"";""QT_ELEITORES_BIOMETRIA"";""QT_ELEITORES_DEFICIENCIA"";""QT_ELEITORES_NOME_SOCIAL"""
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3442;1015;""DUBLIN"";4;""FEMININO"";1;""SOLTEIRO"";3034;""30 a 34 anos"";5;""ENSINO MÉDIO INCOMPLETO"";""1"";""Branca"";1;""Cisgênero"";2;""NÃO"";2;""NÃO"";1;1;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3306;1015;""DUBLIN"";2;""MASCULINO"";1;""SOLTEIRO"";3034;""30 a 34 anos"";6;""ENSINO MÉDIO COMPLETO"";""1"";""Branca"";1;""Cisgênero"";2;""NÃO"";2;""NÃO"";1;1;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3821;1031;""CORK"";4;""FEMININO"";1;""SOLTEIRO"";1900;""19 anos"";6;""ENSINO MÉDIO COMPLETO"";""1"";""Branca"";1;""Cisgênero"";2;""NÃO"";2;""NÃO"";1;0;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3688;1015;""DUBLIN"";2;""MASCULINO"";3;""CASADO"";4044;""40 a 44 anos"";6;""ENSINO MÉDIO COMPLETO"";""3"";""Parda"";3;""Prefere não informar"";2;""NÃO"";2;""NÃO"";1;0;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;511;1015;""DUBLIN"";4;""FEMININO"";1;""SOLTEIRO"";4044;""40 a 44 anos"";7;""SUPERIOR INCOMPLETO"";""-1"";""NÃO INFORMADO"";-1;""NÃO INFORMADO"";-1;""NÃO INFORMADO"";-1;""NÃO INFORMADO"";3;0;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;1278;1120;""LIMERICK"";4;""FEMININO"";3;""CASADO"";5054;""50 a 54 anos"";7;""SUPERIOR INCOMPLETO"";""3"";""Parda"";1;""Cisgênero"";2;""NÃO"";2;""NÃO"";1;0;1;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;522;1112;""DONEGAL"";2;""MASCULINO"";3;""CASADO"";4044;""40 a 44 anos"";7;""SUPERIOR INCOMPLETO"";""1"";""Branca"";3;""Prefere não informar"";2;""NÃO"";2;""NÃO"";1;0;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3307;1031;""CORK"";4;""FEMININO"";9;""DIVORCIADO"";5054;""50 a 54 anos"";6;""ENSINO MÉDIO COMPLETO"";""3"";""Parda"";3;""Prefere não informar"";2;""NÃO"";2;""NÃO"";1;0;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3315;1015;""DUBLIN"";2;""MASCULINO"";1;""SOLTEIRO"";3539;""35 a 39 anos"";8;""SUPERIOR COMPLETO"";""-1"";""NÃO INFORMADO"";-1;""NÃO INFORMADO"";-1;""NÃO INFORMADO"";-1;""NÃO INFORMADO"";25;17;0;0"
"14/07/2026;""18:03:23"";2026;""ZZ"";""29661"";""DUBLIN"";1;3181;1023;""OUTROS LOCAIS DA IRLANDA"";2;""MASCULINO"";3;""CASADO"";3539;""35 a 39 anos"";8;""SUPERIOR COMPLETO"";""1"";""Branca"";3;""Prefere não informar"";2;""NÃO"";2;""NÃO"";2;1;0;0"
